,total functional wiring,characteristic length,average node degree,argmax node degree,binarized average clustering,density,binarized small-worldness,max node betweenness,argmax node betweenness,label
0,2420.934,1.223,41.7402,Right Precuneus,0.87,0.777,1.1074,0.034,Right Middle Cingulate Cortex,1
1,1902.912,1.283,32.8088,Right Lingual Gyrus,0.821,0.718,1.1436,0.0267,Right Middle Cingulate Cortex,1
2,2571.152,1.181,44.3302,Right Hippocampus,0.893,0.819,1.1006,0.0316,Left Hippocampus,1
3,1503.118,1.409,25.9158,Left Cerebellum,0.693,0.591,1.1851,0.0316,Right Thalamus,1
4,2989.882,1.13,51.5497,Right Inferior Temporal Gyrus,0.921,0.87,1.0601,0.0381,Left Cerebellum,1
5,1707.558,1.332,29.4406,Right Middle Temporal Gyrus,0.765,0.668,1.1563,0.0394,Right Middle Temporal Gyrus,1
6,2744.186,1.124,47.3135,Right Lingual Gyrus,0.918,0.876,1.0554,0.0214,Left Superior Frontal Gyrus,1
7,3370.119,1.073,58.1055,Left Precentral Gyrus,0.959,0.927,1.0283,0.0235,Cerebellar Vermis,1
8,1577.914,1.395,27.2054,Right Lingual Gyrus,0.716,0.605,1.1917,0.023,Left Thalamus,1
9,1211.84,1.498,20.8938,Right Lingual Gyrus,0.608,0.502,1.2318,0.022,Right Lingual Gyrus,1
10,2120.762,1.288,36.5649,Right Cerebellum,0.819,0.712,1.1448,0.0345,Right Superior Temporal Gyrus,1
11,2317.292,1.204,39.9533,Right Cerebellum,0.857,0.796,1.0845,0.0305,Right Cerebellum,1
12,1951.544,1.312,33.6473,Right Lingual Gyrus,0.8,0.688,1.16,0.0197,Right Cerebellum,1
13,2880.292,1.123,49.6602,Left Middle Temporal Gyrus,0.917,0.877,1.0276,0.0238,Left Middle Temporal Gyrus,1
14,992.452,1.559,17.1112,Right Lingual Gyrus,0.579,0.443,1.2867,0.0264,Left Cerebellum,1
15,2381.292,1.201,41.0568,Left Middle Occipital Gyrus,0.859,0.799,1.0811,0.0285,Left Middle Occipital Gyrus,1
16,2105.099,1.254,36.2948,Right Lingual Gyrus,0.84,0.746,1.1321,0.0319,Right Inferior Temporal Gyrus,1
17,2551.634,1.199,43.9937,Right Middle Cingulate Cortex,0.884,0.801,1.0964,0.0236,Left Cerebellum,1
18,1479.25,1.427,25.5043,Right Cerebellum,0.69,0.573,1.1928,0.0326,Cerebellar Vermis,2
19,2165.071,1.248,37.3288,Left Middle Frontal Gyrus,0.831,0.752,1.0913,0.0359,Right Cerebellum,2
20,2544.882,1.216,43.8773,Right Lingual Gyrus,0.866,0.784,1.0928,0.0209,Right Middle Cingulate Cortex,2
21,2124.425,1.231,36.628,Right Cerebellum,0.844,0.769,1.0826,0.0191,RightPrecentral Gyrus,2
22,1018.597,1.558,17.562,Left Cerebellum,0.579,0.442,1.3141,0.0284,Left Cerebellum,2
23,1827.875,1.328,31.5151,Right Cerebellum,0.788,0.672,1.1732,0.038,Right Cerebellum,2
24,1862.831,1.317,32.1178,Left Cerebellum,0.787,0.683,1.1666,0.0304,Left Cerebellum,2
25,3216.002,1.116,55.4483,Left Inferior Frontal Gyrus (p. Triangularis),0.913,0.884,1.0285,0.025,Left Cerebellum,2
26,1874.193,1.308,32.3137,Right Middle Frontal Gyrus,0.796,0.692,1.1294,0.0291,Right Cerebellum,2
27,2413.213,1.205,41.6071,Right Precuneus,0.873,0.795,1.1213,0.0381,Cerebellar Vermis,2
28,1396.889,1.444,24.0843,Right Lingual Gyrus,0.67,0.556,1.2126,0.0297,Right Lingual Gyrus,2
29,2393.734,1.235,41.2713,Left Cerebellum,0.863,0.765,1.1429,0.0445,Left Cerebellum,2
30,2672.46,1.187,46.0769,Right Middle Cingulate Cortex,0.895,0.813,1.106,0.0294,Right Middle Cingulate Cortex,2
31,2147.986,1.26,37.0342,Right SMA,0.835,0.74,1.1163,0.0357,Right Lingual Gyrus,2
32,1743.484,1.353,30.0601,Left Middle Occipital Gyrus,0.751,0.647,1.1597,0.0166,Right Inferior Temporal Gyrus,2
33,1185.943,1.524,20.4473,Left Rectal Gyrus,0.601,0.476,1.2321,0.04,Left Olfactory cortex,2
34,1387.068,1.445,23.915,Left Cerebellum,0.672,0.555,1.2198,0.0395,Right Lingual Gyrus,2
35,3875.37,1.053,66.8167,Left Amygdala,0.972,0.947,1.0263,0.0122,Right Cerebellum,1
36,3358.934,1.107,57.9127,Right Temporal Pole,0.935,0.893,1.0439,0.0238,Cerebellar Vermis,2
37,2543.777,1.19,43.8582,Right Cerebellum,0.874,0.81,1.0929,0.0215,Right Cerebellum,1
38,1041.171,1.569,17.9512,Left Middle Occipital Gyrus,0.551,0.431,1.2917,0.0273,Right Precuneus,1
39,2677.067,1.194,46.1563,Left Middle Occipital Gyrus,0.871,0.806,1.0664,0.0232,Left Hippocampus,2
40,2347.325,1.186,40.4711,Left Cerebellum,0.87,0.814,1.0788,0.029,Right Cerebellum,2
41,3439.567,1.045,59.3029,Left Amygdala,0.966,0.955,1.0064,0.0125,Left Inferior Frontal Gyrus (p. Orbitalis),2
42,1160.257,1.513,20.0044,Right Cerebellum,0.596,0.487,1.2524,0.0214,Right Cerebellum,2
43,1613.669,1.38,27.8219,Left Superior Parietal Lobule ,0.74,0.62,1.1657,0.0377,Left Superior Parietal Lobule ,2
44,2854.975,1.096,49.2237,Right Middle Cingulate Cortex,0.938,0.904,1.0362,0.0175,Left Olfactory cortex,2
45,1861.751,1.315,32.0992,Right Cerebellum,0.788,0.685,1.1522,0.0261,Right Cerebellum,2
46,3323.132,1.071,57.2954,Left Superior Temporal Gyrus,0.951,0.929,1.0346,0.0197,Right Cerebellum,2
47,1793.799,1.329,30.9276,Left Cerebellum,0.77,0.671,1.1701,0.0301,Right SMA,2
48,3146.242,1.077,54.2456,Right Cerebellum,0.954,0.923,1.0246,0.0136,Left Postcentral Gyrus,2
49,1605.798,1.37,27.6862,Left Cerebellum,0.731,0.63,1.1411,0.0302,Left Superior Frontal Gyrus,2
50,2294.278,1.216,39.5565,RightPrecentral Gyrus,0.864,0.784,1.0763,0.0375,RightPrecentral Gyrus,2
51,2668.802,1.18,46.0138,Right Cerebellum,0.893,0.82,1.1089,0.022,Cerebellar Vermis,2
52,2927.642,1.095,50.4766,Right Temporal Pole,0.929,0.905,1.0265,0.0154,Right Inferior Temporal Gyrus,2
53,2762.556,1.132,47.6303,Left Cerebellum,0.913,0.868,1.0518,0.0162,Right SMA,2
54,2081.238,1.264,35.8834,Right Middle Cingulate Cortex,0.822,0.736,1.1142,0.0371,Right Cerebellum,1
